stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
G02_Exit 2,G02,2,松山新店線,24.967986,121.541845,,,2,034,Asia/Taipei,0,
035,G03,七張,松山新店線,24.97545,121.542985,,,1,,Asia/Taipei,1,
G03_UP,G03,七張-上行月臺(松山新店線),松山新店線,24.97545,121.542985,,,0,035,Asia/Taipei,1,一
G03_DN,G03,七張-下行月臺(松山新店線),松山新店線,24.97545,121.542985,,,0,035,Asia/Taipei,1,二
G03_Exit 1,G03,1,松山新店線,24.975025,121.543068,,,2,035,Asia/Taipei,1,
G03_Exit 2,G03,2,松山新店線,24.97691,121.542641,,,2,035,Asia/Taipei,0,
032,G03A,小碧潭,松山新店線,24.97188,121.53058,,,1,,Asia/Taipei,1,
G03A_UP,G03A,小碧潭-上行月臺(松山新店線),松山新店線,24.97188,121.53058,,,0,032,Asia/Taipei,1,
G03A_DN,G03A,小碧潭-下行月臺(松山新店線),松山新店線,24.97188,121.53058,,,0,032,Asia/Taipei,1,
G03A_Exit 1,G03A,1,松山新店線,24.971684,121.530311,,,2,032,Asia/Taipei,1,
G03A_Exit 2,G03A,2,松山新店線,24.973192,121.52995,,,2,032,Asia/Taipei,1,
036,G04Y07,大坪林,松山新店線/環狀線,24.9827205,121.54134,,,1,,Asia/Taipei,1,
G04_UP,G04,大坪林-上行月臺(松山新店線),松山新店線,24.9827205,121.54134,,,0,036,Asia/Taipei,1,一
G04_DN,G04,大坪林-下行月臺(松山新店線),松山新店線,24.9827205,121.54134,,,0,036,Asia/Taipei,1,二
G04Y07_Exit 1,G04Y07,1,松山新店線/環狀線,24.982754,121.540874,,,2,036,Asia/Taipei,0,
G04Y07_Exit 2,G04Y07,2,松山新店線/環狀線,24.982051,121.541619,,,2,036,Asia/Taipei,0,
G04Y07_Exit 3,G04Y07,3,松山新店線/環狀線,24.982982,121.541572,,,2,036,Asia/Taipei,1,
G04Y07_Exit 4,G04Y07,4,松山新店線/環狀線,24.983539,121.541405,,,2,036,Asia/Taipei,0,
G04Y07_Exit 5,G04Y07,5,松山新店線/環狀線,24.982859,121.543209,,,2,036,Asia/Taipei,1,
037,G05,景美,松山新店線,24.992824,121.5406975,,,1,,Asia/Taipei,1,
G05_UP,G05,景美-上行月臺(松山新店線),松山新店線,24.992824,121.5406975,,,0,037,Asia/Taipei,1,一
G05_DN,G05,景美-下行月臺(松山新店線),松山新店線,24.992824,121.5406975,,,0,037,Asia/Taipei,1,二
G05_Exit 1,G05,1,松山新店線,24.992296,121.540933,,,2,037,Asia/Taipei,1,
G05_Exit 2,G05,2,松山新店線,24.993069,121.541517,,,2,037,Asia/Taipei,0,
G05_Exit 3,G05,3,松山新店線,24.992744,121.540546,,,2,037,Asia/Taipei,0,
038,G06,萬隆,松山新店線,25.001978,121.539008,,,1,,Asia/Taipei,1,
G06_UP,G06,萬隆-上行月臺(松山新店線),松山新店線,25.001978,121.539008,,,0,038,Asia/Taipei,1,一
G06_DN,G06,萬隆-下行月臺(松山新店線),松山新店線,25.001978,121.539008,,,0,038,Asia/Taipei,1,二
G06_Exit 1,G06,1,松山新店線,25.001367,121.538896,,,2,038,Asia/Taipei,0,
G06_Exit 2,G06,2,松山新店線,25.00151,121.539613,,,2,038,Asia/Taipei,0,
G06_Exit 3,G06,3,松山新店線,25.002215,121.539195,,,2,038,Asia/Taipei,0,
G06_Exit 4,G06,4,松山新店線,25.002676,121.538572,,,2,038,Asia/Taipei,1,
039,G07,公館,松山新店線,25.014781,121.534358,,,1,,Asia/Taipei,1,
G07_UP,G07,公館-上行月臺(松山新店線),松山新店線,25.014781,121.534358,,,0,039,Asia/Taipei,1,一
G07_DN,G07,公館-下行月臺(松山新店線),松山新店線,25.014781,121.534358,,,0,039,Asia/Taipei,1,二
G07_Exit 1,G07,1,松山新店線,25.014509,121.534377,,,2,039,Asia/Taipei,1,
G07_Exit 2,G07,2,松山新店線,25.014718,121.534721,,,2,039,Asia/Taipei,1,
G07_Exit 3,G07,3,松山新店線,25.015413,121.534055,,,2,039,Asia/Taipei,0,
G07_Exit 4,G07,4,松山新店線,25.015148,121.533623,,,2,039,Asia/Taipei,0,
040,G08,台電大樓,松山新店線,25.020733,121.5281435,,,1,,Asia/Taipei,1,
G08_UP,G08,台電大樓-上行月臺(松山新店線),松山新店線,25.020733,121.5281435,,,0,040,Asia/Taipei,1,一
G08_DN,G08,台電大樓-下行月臺(松山新店線),松山新店線,25.020733,121.5281435,,,0,040,Asia/Taipei,1,二
G08_Exit 1,G08,1,松山新店線,25.01962,121.528577,,,2,040,Asia/Taipei,0,
G08_Exit 2,G08,2,松山新店線,25.020192,121.529093,,,2,040,Asia/Taipei,0,
G08_Exit 3,G08,3,松山新店線,25.021179,121.527849,,,2,040,Asia/Taipei,0,
G08_Exit 4,G08,4,松山新店線,25.021018,121.527297,,,2,040,Asia/Taipei,0,
G08_Exit 5,G08,5,松山新店線,25.020758,121.527739,,,2,040,Asia/Taipei,1,
041,G09O05,古亭,松山新店線/中和新蘆線,25.026373,121.522868,,,1,,Asia/Taipei,1,
G09_UP,G09,古亭-上行月臺(松山新店線),松山新店線,25.026373,121.522868,,,0,041,Asia/Taipei,1,一
G09_DN,G09,古亭-下行月臺(松山新店線),松山新店線,25.026373,121.522868,,,0,041,Asia/Taipei,1,三
O05_UP,O05,古亭-上行月臺(中和新蘆線),中和新蘆線,25.026373,121.522868,,,0,041,Asia/Taipei,1,二
O05_DN,O05,古亭-下行月臺(中和新蘆線),中和新蘆線,25.026373,121.522868,,,0,041,Asia/Taipei,1,四
G09O05_Exit 1,G09O05,1,松山新店線/中和新蘆線,25.025976,121.522973,,,2,041,Asia/Taipei,1,
G09O05_Exit 2,G09O05,2,松山新店線/中和新蘆線,25.025502,121.523353,,,2,041,Asia/Taipei,0,
G09O05_Exit 3,G09O05,3,松山新店線/中和新蘆線,25.026078,121.523353,,,2,041,Asia/Taipei,0,
G09O05_Exit 4,G09O05,4,松山新店線/中和新蘆線,25.026424,121.523069,,,2,041,Asia/Taipei,0,
G09O05_Exit 5,G09O05,5,松山新店線/中和新蘆線,25.027184,121.522873,,,2,041,Asia/Taipei,0,
G09O05_Exit 6,G09O05,6,松山新店線/中和新蘆線,25.027537,121.522297,,,2,041,Asia/Taipei,0,
