stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,stop_x_EPSG3826,stop_y_EPSG3826
O21_DN,O21,迴龍-下行月臺(中和新蘆線),中和新蘆線,25.022107,121.411757,,,0,179,Asia/Taipei,1,二,291555.541,2768289.339
099,R02,象山,淡水信義線,25.032395,121.570116,,,1,,Asia/Taipei,1,,307533.022,2769486.821
R02_DN,R02,象山-下行月臺(淡水信義線),淡水信義線,25.032395,121.570116,,,0,099,Asia/Taipei,1,二,307533.022,2769486.821
100,R03,台北101/世貿,淡水信義線,25.032865,121.563667,,,1,,Asia/Taipei,1,,306881.993,2769536.156
R03_DN,R03,台北101/世貿-下行月臺(淡水信義線),淡水信義線,25.032865,121.563667,,,0,100,Asia/Taipei,1,二,306881.993,2769536.156
101,R04,信義安和,淡水信義線,25.033015,121.552326,,,1,,Asia/Taipei,1,,305737.435,2769548.055
R04_DN,R04,信義安和-下行月臺(淡水信義線),淡水信義線,25.033015,121.552326,,,0,101,Asia/Taipei,1,二,305737.435,2769548.055
011,BR09R05,大安,文湖線/淡水信義線,25.033311,121.54237,,,1,,Asia/Taipei,1,,304732.584,2769576.78
R05_DN,R05,大安-下行月臺(淡水信義線),淡水信義線,25.033311,121.54237,,,0,011,Asia/Taipei,1,二,304732.584,2769576.78
103,R06,大安森林公園,淡水信義線,25.033225,121.536151,,,1,,Asia/Taipei,1,,304105.027,2769564.755
R06_DN,R06,大安森林公園-下行月臺(淡水信義線),淡水信義線,25.033225,121.536151,,,0,103,Asia/Taipei,1,二,304105.027,2769564.755
050,R09,台大醫院,淡水信義線,25.041399,121.51602,,,1,,Asia/Taipei,1,,302070.045,2770462.257
R09_DN,R09,台大醫院-下行月臺(淡水信義線),淡水信義線,25.041399,121.51602,,,0,050,Asia/Taipei,1,二,302070.045,2770462.257
054,R12,雙連,淡水信義線,25.057575,121.520685,,,1,,Asia/Taipei,1,,302533.89,2772255.802
R12_DN,R12,雙連-下行月臺(淡水信義線),淡水信義線,25.057575,121.520685,,,0,054,Asia/Taipei,1,二,302533.89,2772255.802
056,R14,圓山,淡水信義線,25.0714085,121.520074,,,1,,Asia/Taipei,1,,302466.35,2773787.842
R14_DN,R14,圓山-下行月臺(淡水信義線),淡水信義線,25.0714085,121.520074,,,0,056,Asia/Taipei,1,二,302466.35,2773787.842
057,R15,劍潭,淡水信義線,25.0842015,121.5249545,,,1,,Asia/Taipei,1,,302953.213,2775206.774
R15_DN,R15,劍潭-下行月臺(淡水信義線),淡水信義線,25.0842015,121.5249545,,,0,057,Asia/Taipei,1,二,302953.213,2775206.774
058,R16,士林,淡水信義線,25.0934925,121.52623,,,1,,Asia/Taipei,1,,303077.87,2776236.403
R16_DN,R16,士林-下行月臺(淡水信義線),淡水信義線,25.0934925,121.52623,,,0,058,Asia/Taipei,1,二,303077.87,2776236.403
059,R17,芝山,淡水信義線,25.102718,121.522546,,,1,,Asia/Taipei,1,,302702.325,2777256.835
R17_DN,R17,芝山-下行月臺(淡水信義線),淡水信義線,25.102718,121.522546,,,0,059,Asia/Taipei,1,二,302702.325,2777256.835
060,R18,明德,淡水信義線,25.109815,121.518785,,,1,,Asia/Taipei,1,,302319.976,2778041.481
R18_DN,R18,明德-下行月臺(淡水信義線),淡水信義線,25.109815,121.518785,,,0,060,Asia/Taipei,1,二,302319.976,2778041.481
061,R19,石牌,淡水信義線,25.114455,121.515572,,,1,,Asia/Taipei,1,,301993.973,2778554.195
R19_DN,R19,石牌-下行月臺(淡水信義線),淡水信義線,25.114455,121.515572,,,0,061,Asia/Taipei,1,二,301993.973,2778554.195
062,R20,唭哩岸,淡水信義線,25.1208515,121.506234,,,1,,Asia/Taipei,1,,301049.589,2779259.148
R20_DN,R20,唭哩岸-下行月臺(淡水信義線),淡水信義線,25.1208515,121.506234,,,0,062,Asia/Taipei,1,二,301049.589,2779259.148
063,R21,奇岩,淡水信義線,25.1254705,121.50114,,,1,,Asia/Taipei,1,,300533.992,2779768.861
R21_DN,R21,奇岩-下行月臺(淡水信義線),淡水信義線,25.1254705,121.50114,,,0,063,Asia/Taipei,1,二,300533.992,2779768.861
064,R22,北投,淡水信義線,25.1318185,121.4986475,,,1,,Asia/Taipei,1,,300280.051,2780471.075
R22_DN,R22,北投-下行月臺(淡水信義線),淡水信義線,25.1318185,121.4986475,,,0,064,Asia/Taipei,1,二、三,300280.051,2780471.075
066,R23,復興崗,淡水信義線,25.137497,121.485456,,,1,,Asia/Taipei,1,,298947.63,2781095.21
R23_DN,R23,復興崗-下行月臺(淡水信義線),淡水信義線,25.137497,121.485456,,,0,066,Asia/Taipei,1,二,298947.63,2781095.21
067,R24,忠義,淡水信義線,25.1309225,121.4732975,,,1,,Asia/Taipei,1,,297724.248,2780362.62
R24_DN,R24,忠義-下行月臺(淡水信義線),淡水信義線,25.1309225,121.4732975,,,0,067,Asia/Taipei,1,二,297724.248,2780362.62
068,R25,關渡,淡水信義線,25.12551,121.467,,,1,,Asia/Taipei,1,,297091.314,2779760.886
R25_DN,R25,關渡-下行月臺(淡水信義線),淡水信義線,25.12551,121.467,,,0,068,Asia/Taipei,1,二,297091.314,2779760.886
069,R26,竹圍,淡水信義線,25.1369,121.45955,,,1,,Asia/Taipei,1,,296335.764,2781019.932
R26_DN,R26,竹圍-下行月臺(淡水信義線),淡水信義線,25.1369,121.45955,,,0,069,Asia/Taipei,1,二,296335.764,2781019.932
070,R27,紅樹林,淡水信義線,25.15399,121.4588,,,1,,Asia/Taipei,1,,296253.7,2782912.67
R27_DN,R27,紅樹林-下行月臺(淡水信義線),淡水信義線,25.15399,121.4588,,,0,070,Asia/Taipei,1,二,296253.7,2782912.67
071,R28,淡水,淡水信義線,25.167745,121.445805,,,1,,Asia/Taipei,1,,294938.558,2784431.865
R28_DN,R28,淡水-下行月臺(淡水信義線),淡水信義線,25.167745,121.445805,,,0,071,Asia/Taipei,1,二,294938.558,2784431.865
